Age,Gender,Platform,Daily_Usage_Hours,Study_Hours,Sleep_Hours,Academic_Performance
21,Male,Facebook,4.0,4.5,6.7,68.0
23,Female,LinkedIn,1.6,7.0,8.6,76.0
22,Male,Instagram,4.6,4.0,6.7,70.0
18,Male,Snapchat,7.0,1.0,5.4,53.0
24,Female,Facebook,7.5,1.0,5.0,44.0
19,Female,Twitter,4.1,4.6,6.8,68.0
22,Female,Instagram,8.0,1.0,5.2,53.0
21,Female,Facebook,6.0,1.0,5.7,47.0
24,Male,YouTube,4.7,2.4,7.0,62.0
19,Male,TikTok,3.6,3.7,8.1,86.0
18,Male,LinkedIn,4.1,4.3,7.3,68.0
18,Male,Snapchat,7.6,1.0,5.3,55.0
20,Male,Facebook,2.4,6.2,8.8,85.0
23,Female,LinkedIn,6.2,1.5,5.3,54.0
24,Male,Instagram,2.7,5.4,8.6,78.0
18,Female,Twitter,5.2,3.3,7.0,63.0
22,Female,YouTube,6.5,1.3,5.4,50.0
21,Male,YouTube,6.8,1.6,5.7,50.0
21,Male,Facebook,6.9,1.0,5.9,50.0
20,Male,Instagram,5.5,2.2,6.8,68.0
23,Female,Facebook,2.0,5.7,7.9,71.0
19,Female,Snapchat,5.1,1.9,7.1,65.0
24,Male,Facebook,2.0,6.4,7.8,85.0
23,Male,TikTok,2.0,5.6,7.2,86.0
23,Female,LinkedIn,7.1,1.0,5.4,51.0
21,Male,Instagram,6.2,2.2,4.7,57.0
20,Female,LinkedIn,2.8,5.6,8.3,82.0
21,Female,TikTok,7.4,1.1,4.6,47.0
20,Female,TikTok,5.6,2.3,5.7,51.0
23,Female,YouTube,2.7,5.0,7.8,77.0
20,Male,YouTube,7.3,1.0,6.0,57.0
24,Male,Snapchat,2.3,4.4,8.2,81.0
19,Male,LinkedIn,5.6,1.2,6.9,66.0
22,Female,Facebook,7.5,1.0,5.2,40.0
24,Male,TikTok,5.9,1.3,5.9,49.0
18,Male,Instagram,6.8,1.5,5.5,42.0
23,Male,Snapchat,6.7,1.0,5.5,50.0
22,Male,Instagram,4.5,3.2,6.1,66.0
22,Male,LinkedIn,5.7,3.3,6.8,63.0
19,Female,Facebook,2.3,5.4,8.0,85.0
24,Male,Twitter,8.3,1.0,5.5,43.0
21,Female,Twitter,6.5,1.0,5.7,42.0
22,Female,Twitter,6.9,1.0,5.3,45.0
20,Male,TikTok,8.1,1.0,4.5,57.0
20,Female,Instagram,7.2,1.0,4.8,42.0
20,Male,Twitter,4.1,4.6,6.6,67.0
18,Male,LinkedIn,7.2,1.0,4.5,59.0
19,Female,Twitter,5.2,3.1,7.5,64.0
20,Male,Instagram,7.4,1.0,5.2,50.0
21,Male,Instagram,3.6,3.9,7.1,85.0
22,Female,YouTube,8.0,1.0,5.4,47.0
19,Female,Twitter,7.9,1.0,5.0,49.0
21,Female,YouTube,6.8,1.0,5.3,46.0
22,Male,Twitter,7.3,1.0,5.5,47.0
21,Male,LinkedIn,3.4,4.6,8.6,88.0
21,Female,LinkedIn,4.4,4.9,6.4,66.0
22,Male,Twitter,5.9,1.9,4.7,54.0
23,Male,TikTok,6.0,1.2,4.8,55.0
24,Female,TikTok,3.0,5.1,8.1,80.0
19,Male,Instagram,2.7,5.5,8.5,76.0
24,Male,Instagram,1.7,7.4,7.7,87.0
22,Female,YouTube,6.2,2.5,5.3,55.0
21,Male,TikTok,1.8,6.5,7.9,81.0
24,Female,Twitter,7.1,2.1,5.2,48.0
20,Female,Snapchat,6.5,1.0,5.7,41.0
22,Male,Snapchat,7.6,1.0,5.9,60.0
19,Female,LinkedIn,4.9,2.4,6.8,66.0
24,Female,Instagram,8.2,1.0,5.3,44.0
21,Male,Snapchat,5.2,1.7,6.4,61.0
19,Female,Instagram,2.9,5.6,7.9,77.0
23,Female,YouTube,4.4,3.4,7.3,62.0
20,Female,Snapchat,4.0,2.8,7.5,72.0
23,Male,TikTok,6.4,1.0,5.2,46.0
22,Male,Facebook,8.2,1.0,4.6,41.0
22,Male,Twitter,5.1,3.6,6.5,69.0
19,Male,YouTube,2.5,7.1,7.6,84.0
22,Male,Facebook,6.5,3.8,5.8,55.0
24,Female,YouTube,7.5,1.0,4.7,53.0
24,Male,LinkedIn,3.2,4.0,7.1,86.0
23,Male,Facebook,7.3,1.0,5.7,53.0
18,Female,Instagram,5.7,2.5,5.1,49.0
23,Female,Instagram,4.7,2.6,6.1,66.0
22,Male,Twitter,5.9,1.8,6.0,70.0
18,Male,YouTube,7.4,1.0,5.0,47.0
18,Male,TikTok,8.4,1.0,5.9,53.0
19,Male,Instagram,8.1,1.0,4.8,41.0
22,Female,LinkedIn,3.6,4.5,8.6,86.0
20,Male,Twitter,5.8,2.1,5.6,55.0
21,Female,Snapchat,8.0,1.0,5.8,51.0
23,Male,Snapchat,5.7,1.0,5.9,52.0
18,Male,TikTok,8.0,1.0,4.6,58.0
23,Male,Instagram,3.7,4.3,8.4,72.0
20,Male,Facebook,3.4,6.0,8.6,87.0
23,Female,Facebook,3.3,4.8,8.6,83.0
18,Female,Snapchat,3.1,5.7,7.8,75.0
21,Male,LinkedIn,8.2,1.0,6.0,54.0
20,Male,LinkedIn,4.1,3.0,7.2,68.0
18,Female,TikTok,3.5,3.7,7.0,65.0
21,Male,Facebook,5.9,1.5,6.0,67.0
22,Male,YouTube,5.6,4.1,5.6,57.0
22,Male,YouTube,3.8,3.5,7.5,79.0
20,Male,Facebook,3.8,4.9,7.6,87.0
21,Female,Facebook,5.8,1.5,5.8,49.0
18,Male,Snapchat,3.7,5.0,7.5,70.0
20,Female,LinkedIn,2.9,5.4,8.3,84.0
21,Male,LinkedIn,4.5,3.4,7.5,70.0
21,Male,Snapchat,3.8,4.2,7.2,61.0
20,Male,Twitter,2.9,4.6,8.2,76.0
23,Male,Twitter,5.0,3.4,6.7,68.0
21,Male,Instagram,6.5,1.1,5.6,43.0
22,Female,Instagram,3.6,3.4,7.1,60.0
18,Male,LinkedIn,6.9,1.0,5.9,49.0
23,Female,TikTok,2.3,5.8,8.3,88.0
19,Male,Snapchat,2.6,6.7,7.8,88.0
22,Male,Instagram,6.2,1.9,4.8,59.0
24,Female,Instagram,3.8,4.1,7.3,65.0
20,Female,Instagram,7.5,1.0,4.7,46.0
20,Male,Instagram,3.8,5.2,8.2,78.0
21,Female,TikTok,8.4,1.0,5.3,59.0
24,Female,Twitter,5.9,1.8,4.9,41.0
22,Male,YouTube,6.0,2.9,6.8,69.0
23,Male,TikTok,3.5,4.8,8.5,73.0
21,Male,LinkedIn,3.1,6.1,8.5,85.0
19,Female,Instagram,4.5,3.6,6.1,66.0
21,Female,Instagram,5.6,1.4,5.4,51.0
21,Female,Facebook,3.6,3.3,7.2,90.0
18,Male,LinkedIn,7.3,2.0,5.3,40.0
21,Female,YouTube,8.3,1.1,5.1,42.0
20,Female,LinkedIn,5.1,2.8,6.3,61.0
